Year,State abbreviation,State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh)
1998,AK,14.818,21.616,2.936,7.569,15.067,23.243,3.175,8.058,24.641,7.661,0.033,4.328,3652.402,1942.278,1311.766,1704.077
1998,AL,5.419,N/A,1.891,5.329,5.298,N/A,1.578,5.182,15.641,N/A,0.034,15.243,2190.036,N/A,1558.084,2173.912
1998,AR,3.571,13.081,2.705,3.441,3.513,5.763,2.929,3.371,6.534,6.606,0.335,5.513,2324.110,2404.441,1201.172,2139.266
1998,AZ,4.608,18.033,3.231,4.494,4.442,11.457,2.856,4.269,5.512,3.962,0.030,5.055,2334.969,4023.276,1255.534,2245.165
1998,CA,5.383,4.853,0.610,0.876,5.383,4.820,0.675,0.924,15.080,11.852,0.010,0.815,1707.471,2118.611,1059.068,1105.994
1998,CO,4.791,8.958,0.697,4.390,4.852,6.304,0.709,4.409,5.942,4.014,0.009,5.351,2337.289,3546.879,797.421,2185.809
1998,CT,4.818,2.825,0.727,3.153,5.566,2.766,0.727,3.124,6.647,8.497,0.442,7.236,2131.150,1933.178,1245.037,1919.837
1998,DC,N/A,5.421,N/A,5.421,N/A,4.180,N/A,4.180,N/A,10.417,N/A,10.417,N/A,2480.187,N/A,2480.187
1998,DE,5.630,7.627,0.183,4.974,5.679,5.605,0.165,4.642,16.484,12.667,0.011,13.612,2432.281,5267.172,329.294,2364.853
1998,FL,5.529,3.817,1.697,4.348,5.519,4.054,1.608,4.382,12.271,10.328,0.109,9.882,2125.671,1417.378,1015.721,1700.776
1998,GA,5.031,9.508,2.427,5.104,4.986,7.929,2.919,5.021,14.666,122.939,0.280,17.019,2135.880,1803.213,1832.872,2124.363
1998,HI,6.810,6.605,N/A,6.637,6.810,6.566,N/A,6.603,3.898,5.568,N/A,5.313,1879.274,1741.660,N/A,1762.708
1998,IA,5.166,12.084,6.334,5.193,5.200,6.367,2.798,5.173,10.606,0.414,0.077,10.511,2431.398,2001.262,1734.188,2425.818
1998,ID,3.939,53.443,0.249,0.721,3.939,69.553,0.240,0.724,9.570,0.773,0.004,1.161,928.648,1957.878,821.827,835.303
1998,IL,7.601,46.145,2.315,7.372,7.723,41.036,2.212,7.383,21.273,106.110,0.563,20.220,2369.668,6744.595,1728.870,2341.186
1998,IN,6.283,33.506,0.555,6.184,6.497,14.860,0.531,6.391,16.573,2.644,0.066,16.280,2359.399,2674.196,538.863,2327.252
1998,KS,5.296,78.117,6.480,5.468,5.237,77.968,5.269,5.293,8.297,1.116,0.055,7.516,2430.423,2902.983,1405.535,2334.505
1998,KY,7.296,N/A,4.642,7.291,7.357,N/A,2.611,7.342,14.261,N/A,0.290,14.235,2257.017,N/A,1549.432,2255.671
1998,LA,4.341,3.984,2.340,3.119,4.141,3.981,2.512,3.093,14.596,7.760,0.185,5.679,2474.795,2322.248,1122.004,1651.056
