Year,State abbreviation,State annual NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (tons),State annual N2O emissions (tons)
1996,AK,16465.00,2917.00,2937571.00,0,0
1996,AL,219278.00,585040.00,79723804.00,0,0
1996,AR,50609.00,95443.00,31157441.00,0,0
1996,AZ,72906.00,120322.00,36548209.00,0,0
1996,CA,20999.00,1850.00,23509205.00,0,0
1996,CO,83076.00,92812.00,36563631.00,0,0
1996,CT,11842.00,36486.00,9040895.00,0,0
1996,DC,187.00,763.00,61916.00,0,0
1996,DE,20013.00,42181.00,11538471.00,0,0
1996,FL,354688.00,649969.00,130606561.00,0,0
1996,GA,165272.00,475552.00,71848530.00,0,0
1996,HI,22384.00,21180.00,5670226.00,0,0
1996,IA,81503.00,157983.00,36329830.00,0,0
1996,ID,819.00,2.00,373687.00,0,0
1996,IL,289994.00,738637.00,85535962.00,0,0
1996,IN,369507.00,942113.00,133788634.00,0,0
1996,KS,99435.00,117164.00,38637861.00,0,0
1996,KY,367461.00,643884.00,99659522.00,0,0
1996,LA,81320.00,101219.00,40707187.00,0,0
1996,MA,34840.00,104937.00,20467462.00,0,0
1996,MD,108195.00,254124.00,33334868.00,0,0
1996,ME,1193.00,5653.00,697102.00,0,0
1996,MI,182268.00,379329.00,74614022.00,0,0
1996,MN,90951.00,87391.00,35196624.00,0,0
1996,MO,187522.00,364807.00,66481320.00,0,0
1996,MS,52763.00,110421.00,21239713.00,0,0
1996,MT,25559.00,17146.00,14041750.00,0,0
1996,NC,272954.00,466166.00,71082326.00,0,0
1996,ND,106590.00,177621.00,37100022.00,0,0
1996,NE,48912.00,65788.00,20014635.00,0,0
1996,NH,16662.00,50462.00,4630341.00,0,0
1996,NJ,31134.00,45579.00,11132472.00,0,0
1996,NM,81499.00,78511.00,34152497.00,0,0
1996,NV,49954.00,48121.00,28846820.00,0,0
1996,NY,81035.00,242458.00,48040539.00,0,0
1996,OH,561726.00,1505734.00,144095488.00,0,0
1996,OK,97393.00,106611.00,45444821.00,0,0
1996,OR,7615.00,5519.00,3913962.00,0,0
1996,PA,256292.00,1014055.00,114076629.00,0,0
1996,RI,6368.00,52.00,3151117.00,0,0
1996,SC,110540.00,201602.00,31941441.00,0,0
1996,SD,17070.00,14205.00,3222606.00,0,0
1996,TN,257684.00,512175.00,62701834.00,0,0
1996,TX,414831.00,665481.00,222124715.00,0,0
1996,UT,73580.00,32029.00,35699784.00,0,0
1996,VA,104020.00,192726.00,33007593.00,0,0
1996,VT,230.00,5.00,10316.00,0,0
1996,WA,22787.00,78419.00,10213874.00,0,0
1996,WI,107383.00,206274.00,48370400.00,0,0
1996,WV,296503.00,658309.00,85210230.00,0,0
1996,WY,106980.00,100636.00,52563843.00,0,0
1997,AK,17774.68,3246.77,2958915.59,0,0
1997,AL,210999.61,567985.29,79650596.04,0,0
1997,AR,44434.63,84823.81,28283302.83,0,0
1997,AZ,81112.85,126364.46,40548295.66,0,0
1997,CA,22542.15,385.08,27010224.84,0,0
1997,CO,85135.16,98817.52,40387851.23,0,0
1997,CT,18343.93,51157.52,12717678.54,0,0
1997,DC,225.29,463.34,101371.82,0,0
1997,DE,18315.11,41012.91,7125369.42,0,0
1997,FL,339739.67,694803.84,131437805.83,0,0
1997,GA,180373.54,513038.29,76418275.51,0,0
1997,HI,23054.78,19540.98,5705387.45,0,0
1997,IA,77826.44,160607.77,36775812.88,0,0
1997,ID,281.58,0.38,128606.69,0,0
1997,IL,311760.71,823545.19,92885094.48,0,0
1997,IN,388476.97,985183.46,137572883.39,0,0
1997,KS,87158.42,109174.25,35162261.88,0,0
1997,KY,364596.98,673078.02,101423230.54,0,0
1997,LA,89917.51,123940.51,43014001.04,0,0
1997,MA,44415.73,144843.81,26887113.14,0,0
1997,MD,111737.19,260151.31,33374706.83,0,0
1997,ME,2537.24,13054.06,1466487.23,0,0
1997,MI,184680.21,407527.79,74820160.08,0,0
1997,MN,96202.81,93436.13,36595885.55,0,0
1997,MO,200281.47,311045.85,70216915.93,0,0
